"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","dropout_rate","epochs","hidden_dim","lr","method","metric.goal","metric.name","parameters.batch_sizes","parameters.dropout_rates","parameters.epochs","parameters.hidden_dims","parameters.lrs","parameters.weight_decays","weight_decay","Bt_mae","Bt_r2","Bt_rmse","Bx_mae","Bx_r2","Bx_rmse","By_mae","By_r2","By_rmse","Bz_mae","Bz_r2","Bz_rmse","Density_mae","Density_r2","Density_rmse","Speed_mae","Speed_r2","Speed_rmse","Temperature_mae","Temperature_r2","Temperature_rmse","epoch","train_loss","train_mae","train_r2","train_rmse","val_loss","val_mae","val_r2","val_rmse"
"amber-sweep-115","finished","-","","","2024-07-31T14:29:38.000Z","165","4p2ul9fv","128","0.2","200","64","0.0001","","","","","","","","","","0.00001","1.886985659599304","0.0718923807144165","2.6678733825683594","2.3533737659454346","0.05407679080963135","2.920950412750244","2.678668260574341","0.033718883991241455","3.4946322441101074","2.0704610347747803","0.027714550495147705","2.9290573596954346","2.82129430770874","0.0665481686592102","4.31414794921875","66.13027954101562","0.12303048372268675","84.29054260253906","52617.0625","0.06363809108734131","82571.625","200","0.937057141267078","7527.85498046875","0.06294578313827515","31209.1328125","1.0028755766153337","7327.66943359375","-0.046818237751722336","27820.724609375"
"amber-sweep-29","finished","-","","","2024-07-31T07:44:25.000Z","162","4p2ul9fv","128","0.5","200","64","0.0001","","","","","","","","","","0","1.9333096742630005","0.01909881830215454","2.7427022457122803","2.4155218601226807","0.01456606388092041","2.981329917907715","2.7285876274108887","0.009352684020996094","3.538419008255005","2.081733465194702","0.008375763893127441","2.9580435752868652","2.8998749256134033","0.02553796768188477","4.407898426055908","68.83554077148438","0.04692453145980835","87.8719482421875","53782.38671875","0.024003028869628903","84301.0859375","200","0.978881578630125","7694.75439453125","0.021122217178344727","31862.765625","0.9885939419269562","7328.66455078125","-0.03225972130894661","27704.173828125"
"ancient-sweep-134","finished","-","","","2024-07-31T15:44:03.000Z","166","4p2ul9fv","128","0.2","200","256","0.001","","","","","","","","","","0","1.3892229795455933","0.5028291344642639","1.952625036239624","1.8334585428237915","0.3957684636116028","2.334522008895874","2.155306816101074","0.347237229347229","2.872284412384033","1.8469947576522827","0.2746243476867676","2.5299532413482666","2.216679573059082","0.4460151791572571","3.3235180377960205","45.641170501708984","0.5683487057685852","59.13616561889648","40256.3984375","0.4774083495140076","61686.5078125","200","0.5696889296383925","5758.77490234375","0.4303188920021057","23315.2734375","1.0891347497701644","7779.07470703125","-0.1400299370288849","29452.4375"
"autumn-sweep-11","finished","-","","","2024-07-31T06:30:20.000Z","248","4p2ul9fv","64","0.4","200","256","0.1","","","","","","","","","","0","1.9565833806991575","-0.006608247756958008","2.778409481048584","2.445869207382202","-0.005072593688964844","3.010890483856201","2.7616043090820312","-0.004475235939025879","3.5630290508270264","2.099161386489868","-0.006587505340576172","2.9802780151367188","2.9614362716674805","-0.005822300910949707","4.478264331817627","70.51473236083984","-0.0051648616790771484","90.24128723144533","54567.00390625","-0.0038775205612182617","85496.6953125","200","1.0053892347594382","7807.08544921875","-0.005371979437768459","32314.693359375","0.9928963018788232","7491.67822265625","-0.03173718973994255","27805.681640625"
"autumn-sweep-14","finished","-","","","2024-07-31T06:41:15.000Z","163","4p2ul9fv","128","0.2","200","64","0.1","","","","","","","","","","0.01","1.9569284915924072","-0.003881692886352539","2.774644136428833","2.444244146347046","-0.0024603605270385742","3.0069754123687744","2.761042594909668","-0.004384517669677734","3.562868118286133","2.095923900604248","-0.0044863224029541016","2.977165699005127","2.9554927349090576","-0.004431009292602539","4.475165843963623","70.39856719970703","-0.0023250579833984375","90.11371612548828","54576.98828125","-0.0019991397857666016","85416.671875","200","1.0034299694316489","7808.51416015625","-0.0034237930085510015","32284.46875","0.9981221306324004","7443.5966796875","-0.04432487487792969","27758.76953125"
"balmy-sweep-34","finished","-","","","2024-07-31T08:04:29.000Z","388","4p2ul9fv","32","0.5","200","128","0.00001","","","","","","","","","","0.00001","1.9440089464187624","0.009352684020996094","2.7562942504882812","2.430957555770874","0.006532192230224609","2.993458032608032","2.7481038570404053","0.00020569562911987305","3.5547173023223877","2.0863935947418213","0.0017022490501403809","2.9679808616638184","2.9242308139801025","0.013665556907653809","4.434669017791748","69.36891174316406","0.02712702751159668","88.77989959716797","54014.2578125","0.011924564838409424","84821.1171875","200","0.98990595749986","7727.96826171875","0.010072733275592329","32059.341796875","0.9967454963862292","7457.5791015625","-0.03703684359788895","27832.130859375"
"bright-sweep-142","finished","-","","","2024-07-31T16:22:08.000Z","162","4p2ul9fv","128","0.4","200","64","0.0001","","","","","","","","","","0","1.9233553409576416","0.03001934289932251","2.7273919582366943","2.4009406566619873","0.023627638816833496","2.967590808868408","2.712851285934448","0.01648944616317749","3.5256505012512207","2.0793421268463135","0.012058675289154053","2.952545404434204","2.876577138900757","0.03593248128890991","4.384325981140137","68.2009048461914","0.06459712982177734","87.0534439086914","53621.52734375","0.03000015020370483","84041.6953125","200","0.9696143815215204","7671.69775390625","0.030389513820409775","31764.775390625","0.991921763420105","7337.45849609375","-0.0357687808573246","27742.640625"
"cool-sweep-90","finished","-","","","2024-07-31T12:41:16.000Z","168","4p2ul9fv","128","0.4","200","128","0.00001","","","","","","","","","","0.001","2.00820255279541","-0.03857994079589844","2.822188377380371","2.4783248901367188","-0.04627335071563721","3.071983337402344","2.8151328563690186","-0.04957449436187744","3.6421377658843994","2.161865234375","-0.04814720153808594","3.041180372238159","2.9975125789642334","-0.020076990127563477","4.509886264801025","70.64099884033203","-0.009034395217895508","90.41481018066406","56321.2890625","-0.0406264066696167","87047.515625","200","1.0360270608478868","8057.7646484375","-0.0360453799366951","32900.87890625","0.9991810864210128","7579.5341796875","-0.04534256458282471","28074.04296875"
"copper-sweep-139","finished","-","","","2024-07-31T16:07:05.000Z","239","4p2ul9fv","64","0.4","200","64","0.01","","","","","","","","","","0.001","1.9519295692443848","0.0014867186546325684","2.7672154903411865","2.442930221557617","-0.0010976791381835938","3.0049309730529785","2.7567875385284424","-0.000995039939880371","3.5568511486053467","2.0885231494903564","0.0006649494171142578","2.96952223777771","2.9445111751556396","0.004056811332702637","4.456217288970947","70.0111312866211","0.008096754550933838","89.64401245117188","54295.7421875","0.0036576390266418457","85175.21875","200","0.997730318089606","7768.28076171875","0.002267471281811595","32193.20703125","0.9947491224968072","7581.70166015625","-0.034904658794403076","27907.587890625"
"curious-sweep-86","finished","-","","","2024-07-31T12:22:15.000Z","248","4p2ul9fv","64","0.2","200","256","0.0001","","","","","","","","","","0.01","1.7061278820037842","0.2250450849533081","2.4378345012664795","2.165324449539185","0.17914223670959473","2.721010684967041","2.517952680587769","0.11934477090835573","3.336204767227173","2.010508298873902","0.0878138542175293","2.837087631225586","2.6376760005950928","0.1784692406654358","4.047259330749512","56.6121940612793","0.34653592109680176","72.76080322265625","47399.1484375","0.21029460430145264","75830.078125","200","0.807631537633043","6780.97119140625","0.19237729907035828","28661.09375","1.0587946522717524","7607.40283203125","-0.10256663709878922","28640.3671875"
